file,question,solution,category
prob_s2.6.tex,"\begin{question}
Let $x_0$ and $y_0$ be constants and let $m$ and $n$ be integers.
If $m<0$ assume that $x_0\ne 0$, and if $n<0$ assume that $y_0\ne 0$.
Define $P(x,y) = x^m y^n$.
\begin{enumerate}[(a)]
\item
Find the linear approximation to $P(x_0+\De x,y_0+\De y)$.
\item
Denote by
\begin{equation*}
P_\% = 100\left|\frac{P(x_0+\De x,y_0+\De y)-P(x_0,y_0)}{P(x_0,y_0)}\right|
\qquad
x_\% = 100\left|\frac{\De x}{x_0}\right|
\qquad
y_\% = 100\left|\frac{\De y}{y_0}\right|
\end{equation*}
the percentage errors in $P$, $x$ and $y$ respectively. Use the linear approximation to find an (approximate) upper bound on $P_\%$ in terms of
$m$, $n$, $x_\%$ and $y_\%$.
\end{enumerate}

\end{question}","\begin{solution}
(a) The first order partial derivatives of $P(x,y)$ at $x=x_0$ and $y=y_0$ are
\begin{equation*}
P_x(x_0,y_0) = m x_0^{m-1} y_0^n\qquad
P_y(x_0,y_0) = n x_0^m y_0^{n-1}
\end{equation*}
So, by (\eref{CLP200}{eqn lin approx 2d}) in the CLP-3 text, the 
linear approximation is
\begin{align*}
P(x_0+\De x,y_0+\De y) 
       &\approx P(x_0,y_0) + P_x(x_0,y_0)\,\De x  + P_y(x_0,y_0)\,\De y\\
       &\approx P(x_0,y_0) + mx_0^{m-1}y_0^n\,\De x  + nx_0^m y_0^{n-1}\,\De y
\end{align*}

(b) By part (a)
\begin{align*}
\frac{P(x_0+\De x,y_0+\De y)-P(x_0,y_0)}{P(x_0,y_0)}
&\approx \frac{mx_0^{m-1}y_0^n\,\De x  + nx_0^m y_0^{n-1}\,\De y}{x_0^my_0^n}
 =m\frac{\De x}{x_0} + n\frac{\De y}{y_0}
\end{align*}
Hence
\begin{align*}
P_\% &\approx 100\left|m\frac{\De x}{x_0} + n\frac{\De y}{y_0}\right| \\
     &\le |m| 100\left|\frac{\De x}{x_0}\right| 
         + |n| 100\left|\frac{\De y}{y_0}\right| \\
     &\le |m| x_\% + |n| y_\%
\end{align*}

\emph{Warning.} The answer $m\,x_\% +n\,y_\%$, without absolute values on $m$
and $n$, can be seriously wrong. As an example, suppose that $m=1$, $n=-1$,
$x_0=y_0=1$, $\De x = 0.05$ and $\De y=-0.05$. Then
\begin{align*}
P_\%  &\approx 100\left|m\frac{\De x}{x_0} + n\frac{\De y}{y_0}\right| \\
      &= 100\left|(1)\frac{0.05}{1} + (-1)\frac{-0.05}{1}\right| \\
      & = 10\%
\end{align*}
while
\begin{align*}
m\,x_\% +n\,y_\% &= m\, 100\left|\frac{\De x}{x_0}\right| 
         + n\, 100\left|\frac{\De y}{y_0}\right| \\
               &=  (1) 100\left|\frac{0.05}{1}\right| 
         + (-1) 100\left|\frac{-0.05}{1}\right| \\
              &= 0
\end{align*}
The point is that $m$ and $n$ being of opposite sign does not guarantee that
there is a cancelation between the two terms of 
$m\frac{\De x}{x_0} + n\frac{\De y}{y_0}$, because $\frac{\De x}{x_0}$ and 
$\frac{\De y}{y_0}$ can also be of opposite sign.
\end{solution}",CLP3
prob_s2.6.tex,"\begin{question}
Consider the following work.

\textcolor{blue}{
We compute, approximately, the $y$-coordinate of the point whose polar coordinates are $r=0.9$ and $\theta=2^\circ$. In general, the
$y$-coordinate of the point whose polar coordinates are $r$ and $\theta$
is $Y(r,\theta) = r\sin\theta$. The partial derivatives
\begin{equation*}
Y_r(r,\theta)=\sin\theta\qquad Y_\theta(r,\theta) = r\cos\theta
\end{equation*}  
So the linear approximation to $Y(r_0+\De r,\theta_0+\De\theta)$ with $r_0=1$
and $\theta_0=0$ is
\begin{align*}
Y(1+\De r,0+\De\theta)
&\approx Y(1,0) + Y_r(1,0)\,\De r + Y_\theta(1,0)\,\De\theta  \\
&= 0\ +\ (0)\,\De r\ +\ (1)\De\theta 
\end{align*}
Applying this with $\De r=-0.1$ and $\De\theta=2$ gives the (approximate)
$y$-coordinate
\begin{align*}
Y(0.9,2) = Y(1-0.1\,,\, 0+2)\approx 0\ +\ (0)\,(-0.1)\ +\ (1)(2)
         =2
\end{align*} 
}
This conclusion is ridiculous. We're saying that the $y$-coordinate is 
more than twice the distance from the point to the origin. What was the 
mistake? 

\end{question}","\begin{solution}
We used that $\diff{}{\theta}\sin\theta = \cos\theta$. That is true only if $\theta$ is given in radians, not degrees. 
(See Lemma \eref{CLP100}{lem DIFFsincos} and 
Warning \eref{CLP100}{warning:radians} in the CLP-1 text.) 
So we have to convert $2^\circ$
to radians, which is $2\times\frac{\pi}{180}=\frac{\pi}{90}$.
The correct computation is
\begin{align*}
Y\big(0.9,\tfrac{\pi}{90}\big) = Y\big(1-0.1\,,\, 0+\tfrac{\pi}{90}\big)
   \approx 0\ +\ (0)\,(-0.1)\ +\ (1)\big(\tfrac{\pi}{90}\big)
         =\tfrac{\pi}{90}
   \approx 0.035
\end{align*} 
Just out of general interest,
$
0.9\sin\tfrac{\pi}{90} =0.0314
$
to four decimal places.

\end{solution}",CLP3
prob_s2.6.tex,"\begin{question}
Find an approximate value for $f(x,y)=\sin(\pi xy+\ln y)$ at $(0.01,1.05)$
without using a calculator or computer.
\end{question}","\begin{solution}
Apply the linear approximation 
$f(0.01,1.05)\approx f(0,1)+f_x(0,1)(0.01)+f_y(0,1)(0.05)$,
with 
\begin{align*}
f(x,y)&=\sin(\pi xy+\ln y) & f(0,1)&=\sin 0=0\\
f_x(x,y)&=\pi y\cos(\pi xy+\ln y) & f_x(0,1)&=\pi\cos 0=\pi\\
f_y(x,y)&=\left(\pi x+\frac{1}{y}\right)\cos(\pi xy+\ln y) & 
             f_y(0,1)&=\cos 0=1
\end{align*}
This gives
\begin{align*}
f(0.01,1.05)&\approx f(0,1)+f_x(0,1)(0.01)+f_y(0,1)(0.05)
=0+\pi(0.01)+1(0.05) \\
&=0.01\,\pi + 0.05
\approx 0.0814
\end{align*}

\end{solution}",CLP3
prob_s2.6.tex,"\begin{question}[M200 2009A] %1b
Let $\displaystyle f(x,y)=\frac{x^2y}{x^4+2y^2}$.
Find an approximate value for $f (-0.9\,,\, 1.1)$
without using a calculator or computer.
\end{question}","\begin{solution}
We are going to need
the first order derivatives of $f(x,y)$ at $(x,y)=(-1,1)$.
So we find them first.
\begin{alignat*}{3}
f_x(x,y)&=\frac{2xy}{x^4+2y^2}-\frac{x^2y(4x^3)}{{(x^4+2y^2)}^2}\qquad &
f_x(-1,1)&=-\frac{2}{3} +\frac{4}{3^2}=-\frac{2}{9}
\\
f_y(x,y)&=\frac{x^2}{x^4+2y^2}-\frac{x^2y(4y)}{{(x^4+2y^2)}^2}\qquad &
f_y(-1,1)&=\frac{1}{3} -\frac{4}{3^2}=-\frac{1}{9}
\end{alignat*}

The linear approximation to $f(x,y)$ about $(-1,1)$ is
\begin{align*}
f(x,y)\approx=f(-1,1) + f_x(-1,1)\,(x+1) + f_y(-1,1)\,(y-1)
 =\frac{1}{3} -\frac{2}{9}\,(x+1) -\frac{1}{9}\,(y-1)
\end{align*}
In particular
\begin{align*}
f(-0.9,1.1)\approx \frac{1}{3} -\frac{2}{9}\,(0.1) -\frac{1}{9}\,(0.1)
=\frac{27}{90}=0.3
\end{align*}
\end{solution}",CLP3
prob_s2.6.tex,"\begin{question}
Four numbers, each at least zero and each at most 50, are rounded to
the first decimal place and then multiplied together. Estimate the maximum
possible error in the computed product.
\end{question}","\begin{solution}
Let the four numbers be $x_1$, $x_2$, $x_3$ and $x_4$.
Let the four rounded numbers be $x_1+\veps_1$, $x_2+\veps_2$, $x_3+\veps_3$ 
and $x_4+\veps_4$. Then $0\le x_1,x_2,x_3,x_4\le 50$ and 
$|\veps_1|,|\veps_2|,|\veps_3|,|\veps_4|\le 0.05$. If 
$P(x_1,x_2,x_3,x_4)=x_1x_2x_3x_4$, then the error in the product 
introduced by rounding is, using the four variable variant of the 
linear approximation (\eref{CLP200}{eqn lin approx 3d}) of the CLP-3 text,
\begin{align*}
&\big|P(x_1+\veps_1,x_2+\veps_2,x_3+\veps_3,x_4+\veps_4)-P(x_1,x_2,x_3,x_4)\big|
\\
&\approx\big|\pdiff{P}{x_1}(x_1,x_2,x_3,x_4)\veps_1
+\pdiff{P}{x_2}(x_1,x_2,x_3,x_4)\veps_2
+\pdiff{P}{x_3}(x_1,x_2,x_3,x_4)\veps_3
+\pdiff{P}{x_4}(x_1,x_2,x_3,x_4)\veps_4\big|\\
&=\big|x_2x_3x_4\veps_1
+x_1x_3x_4\veps_2
+x_1x_2x_4\veps_3
+x_1x_2x_3\veps_4\big|\\
&\le 4\times 50\times 50\times 50\times 0.05
=25000
\end{align*}
\end{solution}",CLP3
prob_s2.6.tex,"\begin{question}[M200 2005D] %1
One side of a right triangle is measured to be $3$ with a maximum 
possible error of $\pm 0.1$, and the other side is measured to be 
$4$ with a maximum possible error of $\pm 0.2$.
Use the linear approximation to estimate the maximum possible error
in calculating the length of the hypotenuse of the right triangle.
\end{question}","\begin{solution}
Denote by $x$ and $y$ the lengths of sides with $x=3\pm 0.1$
and $y=4\pm 0.2$. Then the length of the hypotenuse is 
$f(x,y)=\sqrt{x^2+y^2}$. Note that
\begin{alignat*}{5}
f(x,y)&=\sqrt{x^2+y^2} &
         f(3,4)&=5 \\
f_x(x,y)&=\frac{x}{\sqrt{x^2+y^2}}\qquad &
         f_x(3,4)&=\frac{3}{5} \\
f_y(x,y)&=\frac{y}{\sqrt{x^2+y^2}} &
         f_y(3,4)&=\frac{4}{5} 
\end{alignat*}
By the linear approximation
\begin{align*}
f(x,y)\approx f(3,4) + f_x(3,4)\,(x-3) + f_y(3,4)\,(y-4)
      =5 +\frac{3}{5}\,(x-3)  +\frac{4}{5}\,(y-4)
\end{align*}
So the approximate maximum error in calculating the length of the hypotenuse
is
\begin{align*}
\frac{3}{5}\,(0.1)  +\frac{4}{5}\,(0.2)
=\frac{1.1}{5} = 0.22
\end{align*}

\end{solution}",CLP3
prob_s2.6.tex,"\begin{question}[M200 2006A] %1
If two resistors of resistance $R_1$ and $R_2$ are wired in parallel, 
then the resulting resistance R satisfies the equation
$\frac{1}{R} =\frac{1}{R_1}+\frac{1}{R_2}$. Use the linear
approximation to estimate the change in $R$ if $R_1$ decreases from 
$2$ to $1.9$ ohms and $R_2$ increases from 8 to 8.1 ohms.
\end{question}","\begin{solution}
The function $R(R_1,R_2)$ is defined implictly by
\begin{equation*}
\frac{1}{R(R_1,R_2)} =\frac{1}{R_1}+\frac{1}{R_2}
\tag{$*$}\end{equation*}
In particular
\begin{equation*}
\frac{1}{R(2,8)} = \frac{1}{2}+\frac{1}{8} = \frac{5}{8}
\implies R(2,8) = \frac{8}{5}
\end{equation*}

We wish to use the linear approximation
\begin{equation*}
R(R_1,R_2) \approx R(2,8) + \pdiff{R}{R_1}(2,8)\,(R_1-2)
                          + \pdiff{R}{R_2}(2,8)\,(R_2-8)
\end{equation*}
To do so, we need the partial derivatives $\pdiff{R}{R_1}(2,8)$
and $\pdiff{R}{R_2}(2,8)$. To find them, we differentiate $(*)$ with respect to
$R_1$ and $R_2$:
\begin{align*}
-\frac{1}{R(R_1,R_2)^2}\pdiff{R}{R_1}(R_1,R_2)
                 &= -\frac{1}{R_1^2}  \\
-\frac{1}{R(R_1,R_2)^2}\pdiff{R}{R_2}(R_1,R_2)
                 &= -\frac{1}{R_2^2}  \\
\end{align*}
Setting $R_1=2$ and $R_2=8$ gives
\begin{alignat*}{5}
-\frac{1}{(8/5)^2}\pdiff{R}{R_1}(2,8)
                 &= -\frac{1}{4} &\quad\implies\quad &
         &\pdiff{R}{R_1}(2,8) &=\frac{16}{25} \\
-\frac{1}{(8/5)^2}\pdiff{R}{R_2}(2,8)
                 &= -\frac{1}{64}  &\quad\implies\quad &
         &\pdiff{R}{R_2}(2,8) &=\frac{1}{25}
\end{alignat*}
So the specified change in $R$ is
\begin{align*}
R(1.9,8.1)-R(2,8) \approx  \frac{16}{25} (-0.1) + \frac{1}{25}(0.1)
=-\frac{15}{250} = -0.06
\end{align*}
\end{solution}",CLP3
prob_s2.6.tex,"\begin{question}
The total resistance $R$ of three resistors, $R_1$, $R_2$, $R_3$, connected
in parallel is determined by
\begin{equation*}
\frac{1}{R}=\frac{1}{R_1}+\frac{1}{R_2}+\frac{1}{R_3}
\end{equation*}
If the resistances, measured in Ohms, are $R_1=25\Om$, $R_2=40\Om$ and
$R_3=50\Om$, with a possible error of 0.5\% in each case, estimate the
maximum error in the calculated value of $R$.
\end{question}","\begin{solution}
First, we compute the values of the partial derivatives of
$R(R_1,R_2,R_3)$ at the measured values of $R_1$, $R_2$, $R_3$. Applying
$\pdiff{}{R_i}$, with $i=1,2,3$ to both sides of
the defining equation 
\begin{equation*}
\frac{1}{R(R_1,R_2,R_3)}=\frac{1}{R_1}+\frac{1}{R_2}+\frac{1}{R_3}
\end{equation*}
for $R(R_1,R_2,R_3)$ gives
\begin{align*}
-\frac{1}{R(R_1,R_2,R_3)^2}\ \pdiff{R}{R_1}(R_1,R_2,R_3)
&=-\frac{1}{R_1^2}\\
-\frac{1}{R(R_1,R_2,R_3)^2}\ \pdiff{R}{R_2}(R_1,R_2,R_3)
&=-\frac{1}{R_2^2}\\
-\frac{1}{R(R_1,R_2,R_3)^2}\ \pdiff{R}{R_3}(R_1,R_2,R_3)
&=-\frac{1}{R_3^2}
\end{align*}
When $R_1=25\Om$, $R_2=40\Om$ and $R_3=50\Om$
\begin{equation*}
\frac{1}{R(25,40,50)}=\frac{1}{25}+\frac{1}{40}+\frac{1}{50}
=\frac{8+5+4}{200}\implies
R(25,40,50)=\frac{200}{17}=11.765
\end{equation*}
Substituting in these values of $R_1$, $R_2$, $R_3$ and $R$,
\begin{alignat*}{5}
\pdiff{R}{R_1}(25,40,50)
&=\frac{R(25,40,50)^2}{25^2}&=\frac{64}{17^2}&=0.221\\
\pdiff{R}{R_2}(25,40,50)
&=\frac{R(25,40,50)^2}{40^2}&=\frac{25}{17^2}&=0.0865\\
\pdiff{R}{R_3}(25,40,50)
&=\frac{R(25,40,50)^2}{50^2}&=\frac{16}{17^2}&=0.0554
\end{alignat*}
If the absolute errors in measuring $R_1$, $R_2$ and $R_3$ are denoted 
$\veps_1$, $\veps_2$ and $\veps_3$, respectively, then,
, using the linear approximation (\eref{CLP200}{eqn lin approx 3d}) 
of the CLP-3 text, the corresponding error $E$ in $R$ is
\begin{align*}
E &= R(25+\veps_1,40+\veps_2,50+\veps_3)-R(25,40,50) \\
&\approx \pdiff{R}{R_1}(25,40,50)\veps_1
       +\pdiff{R}{R_2}(25,40,50)\veps_2
       +\pdiff{R}{R_3}(25,40,50)\veps_3
\end{align*}
and obeys
\begin{align*}
|E|&\le \frac{64}{17^2}|\veps_1|+\frac{25}{17^2}|\veps_2|
                +\frac{16}{17^2}|\veps_3| \\
\text{or}\quad|E|&\le 0.221|\veps_1|+0.0865|\veps_2|+0.0554|\veps_3|
\end{align*}
We are told that the percentage error in each measurement is no more that
$0.5\%$. So
\begin{equation*}
|\veps_1|\le \frac{0.5}{100}25=\frac{1}{8}=0.125\qquad
|\veps_2|\le \frac{0.5}{100}40=\frac{1}{5}=0.2\qquad
|\veps_3|\le \frac{0.5}{100}50=\frac{1}{4}=0.25
\end{equation*}
so that
\begin{align*}
|E|&\le \frac{8}{17^2}+\frac{5}{17^2}+\frac{4}{17^2}
=\frac{1}{17}\\
\text{or}\quad|E|&\le 0.221\times0.125+0.0865\times0.2+0.0554\times0.25
=0.059
\end{align*}
\end{solution}",CLP3
prob_s2.6.tex,"\begin{question}
The specific gravity $S$ of an object is given by $\ S=\frac{A}{A-W}\ $
where $A$ is the weight of the object in air and $W$ is the weight of the
object in water. If $\ A=20\pm .01\ $ and $\ W=12\pm.02\ $ find the 
approximate percentage error in calculating $S$ from the given measurements.
\end{question}","\begin{solution}
By the linear approximation
\begin{align*}
\De S\approx \pdiff{S}{A}(20,12)\,\De A
+\pdiff{S}{W}(20,12)\,\De W
\end{align*}
with $S(A,W)=\frac{A}{A-W} =1+\frac{W}{A-W}$. So
\begin{align*}
S(A,W)&=\frac{A}{A-W} & S(20,12)&=\frac{20}{8}=\frac{5}{2}\\
S_A(A,W)&=-\frac{W}{(A-W)^2} & S_A(20,12)&=-\frac{12}{8^2}=-\frac{3}{16}\\
S_W(A,W)&=\frac{A}{(A-W)^2} & S_W(20,12)&=\frac{20}{8^2}=\frac{5}{16}
\end{align*}
For any given $\De A$ and $\De W$, the percentage error is
\begin{equation*}
\left|100\frac{\De S}{S}\right|
=\left|100\frac{2}{5}\Big(-\frac{3}{16}\De A+\frac{5}{16}\De W\Big)\right|
\end{equation*}
We are told that $|\De A|\le 0.01$ and $|\De W|\le 0.02$. To maximize
$\big|100\frac{2}{5}\big(-\frac{3}{16}\De A+\frac{5}{16}\De W\big)\big|$
take $\De A=- 0.01$ and $\De W=+ 0.02$. So the maximum percentage error
is
\begin{equation*}
100\frac{2}{5}\left[-\frac{3}{16}(- 0.01)+\frac{5}{16}(0.02)\right]
= \frac{2}{5}\times \frac{13}{16}
=\frac{13}{40}=0.325\%
\end{equation*}
\end{solution}",CLP3
prob_s2.6.tex,"\begin{question}[M200 2008D] %2
The pressure in a solid is given by
\begin{equation*}
P(s,r) = sr(4s^2 - r^2 - 2)
\end{equation*}
where $s$ is the specific heat and $r$ is the density. We expect to measure 
$(s,r)$ to be approximately $(2,2)$ and would like to have the most 
accurate value for $P$.
There are two different ways to measure $s$ and $r$. Method $1$ 
has an error in $s$ of $\pm 0.01$ and an error in $r$ of $\pm 0.1$, 
while method 2 has an error of $\pm 0.02$ for both $s$ and $r$.

Should we use method 1 or method 2? Explain your reasoning carefully.
\end{question}","\begin{solution}
The linear approximation to $P(s,r)$ at $(2,2)$ is
\begin{align*}
P(s,r)\approx P(2,2) +P_s(2,2)\,(s-2) + P_r(2,2)\,(r-2)
\end{align*} 
As
\begin{align*}
P(2,2) &= (2)(2)\big[4(2)^2-(2)^2-2\big] = 40
         \qquad\text{(which we don't actually need) } \\
P_s(2,2) &= \Big[12s^2r-r^3-2r\Big]_{s=r=2} = 84 \\
P_r(2,2) &= \Big[4s^3-3sr^2-2s\Big]_{s=r=2} = 4
\end{align*}
the linear approximation is
\begin{align*}
P(s,r)\approx 40 +84\,(s-2) + 4\,(r-2)
\end{align*}
Under method 1, the maximum error in $P$ will have magnitude
at most (approximately)
\begin{align*}
84(0.01) + 4(0.1) = 1.24
\end{align*}
Under method 2, the maximum error in $P$ will have magnitude
at most (approximately)
\begin{align*}
84(0.02) + 4(0.02) = 1.76
\end{align*}
Method 1 is better.
\end{solution}",CLP3
